stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.4,0.5500000000000002,0.8572834645669292,0.9645390070921985,0.7257606854987398,,,,,
stage1,weighted,0.4,0.6000000000000002,0.8356299212598425,0.9787234042553191,0.7082708398485906,,,,,
stage1,weighted,0.4,0.6500000000000001,0.8080708661417323,0.9929078014184397,0.6857181351852047,,,,,
stage1,weighted,0.4,0.7000000000000002,0.7746062992125984,1.0,0.6538146029160017,,,,,
stage1,weighted,0.4,0.7500000000000002,0.735236220472441,1.0,0.6134260312190736,,,,,
stage1,weighted,0.4,0.8000000000000002,0.6850393700787402,1.0,0.5664793386640243,,,,,
stage1,weighted,0.4,0.8500000000000002,0.6427165354330708,1.0,0.5300958857129602,,,,,
stage1,weighted,0.4,0.9000000000000002,0.5846456692913385,1.0,0.48393228116742276,,,,,
stage1,weighted,0.45,0.1,0.9960629921259843,0.2907801418439716,0.4755709645941208,,,,,
stage1,weighted,0.45,0.15000000000000002,0.984251968503937,0.38652482269503546,0.518298482388973,,,,,
stage1,weighted,0.45,0.20000000000000004,0.9655511811023622,0.5531914893617021,0.6038553070547212,,,,,
stage1,weighted,0.45,0.25000000000000006,0.952755905511811,0.6985815602836879,0.686404687139007,,,,,
stage1,weighted,0.45,0.30000000000000004,0.9360236220472441,0.7872340425531915,0.7187004663765283,,,,,
stage1,weighted,0.45,0.3500000000000001,0.9173228346456693,0.8652482269503546,0.7426298528874203,,,,,
stage1,weighted,0.45,0.40000000000000013,0.8996062992125984,0.9078014184397163,0.7450044456870724,,,,,
stage1,weighted,0.45,0.45000000000000007,0.8887795275590551,0.9361702127659575,0.7493736328157179,,,,,
stage1,weighted,0.45,0.5000000000000001,0.8700787401574803,0.950354609929078,0.7327343476172148,,,,,
stage1,weighted,0.45,0.5500000000000002,0.8503937007874016,0.9680851063829787,0.7192456765454942,,,,,
stage1,weighted,0.45,0.6000000000000002,0.8208661417322834,0.9822695035460993,0.6927443404969582,,,,,
stage1,weighted,0.45,0.6500000000000001,0.7874015748031497,0.9964539007092199,0.6649866889601974,,,,,
stage1,weighted,0.45,0.7000000000000002,0.7549212598425197,1.0,0.6331813604099569,,,,,
stage1,weighted,0.45,0.7500000000000002,0.7125984251968503,1.0,0.5916856506989603,,,,,
stage1,weighted,0.45,0.8000000000000002,0.6761811023622047,1.0,0.5586444179490501,,,,,
stage1,weighted,0.45,0.8500000000000002,0.6299212598425197,1.0,0.5195827693623247,,,,,
stage1,weighted,0.45,0.9000000000000002,0.5807086614173228,1.0,0.48093576764306606,,,,,
stage1,weighted,0.5,0.1,0.9960629921259843,0.2978723404255319,0.48215778190793623,,,,,
stage1,weighted,0.5,0.15000000000000002,0.9832677165354331,0.39361702127659576,0.5212931800661283,,,,,
stage1,weighted,0.5,0.20000000000000004,0.9645669291338582,0.5780141843971631,0.6210273061617027,,,,,
stage1,weighted,0.5,0.25000000000000006,0.9498031496062992,0.7021276595744681,0.682787396717058,,,,,
stage1,weighted,0.5,0.30000000000000004,0.9350393700787402,0.8120567375886525,0.7351676823419132,,,,,
stage1,weighted,0.5,0.3500000000000001,0.9143700787401575,0.8687943262411347,0.7402301045609294,,,,,
stage1,weighted,0.5,0.40000000000000013,0.8966535433070866,0.9290780141843972,0.7561403572172308,,,,,
stage1,weighted,0.5,0.45000000000000007,0.8799212598425197,0.9397163120567376,0.7388879690798831,,,,,
stage1,weighted,0.5,0.5000000000000001,0.8641732283464567,0.9539007092198581,0.7271565299808089,,,,,
stage1,weighted,0.5,0.5500000000000002,0.8356299212598425,0.975177304964539,0.7055714539322095,,,,,
stage1,weighted,0.5,0.6000000000000002,0.8031496062992126,0.9858156028368794,0.6745410530087028,,,,,
stage1,weighted,0.5,0.6500000000000001,0.7716535433070866,0.9964539007092199,0.6478879031921796,,,,,
stage1,weighted,0.5,0.7000000000000002,0.7431102362204725,1.0,0.621228342129346,,,,,
stage1,weighted,0.5,0.7500000000000002,0.702755905511811,1.0,0.582532798409814,,,,,
stage1,weighted,0.5,0.8000000000000002,0.6643700787401575,1.0,0.5483849952882943,,,,,
stage1,weighted,0.5,0.8500000000000002,0.6259842519685039,1.0,0.5163893339254998,,,,,
stage1,weighted,0.5,0.9000000000000002,0.5757874015748031,1.0,0.4772114641838769,,,,,
